Plant,SoilMoisture,Temperature,Humidity,Rain,WaterLevel,Irrigation
Tomato,25,31,58,0,75,1
Tomato,30,30,60,0,72,1
Tomato,35,29,64,0,70,1
Tomato,40,28,65,0,75,1
Tomato,45,29,66,0,72,1
Tomato,50,28,68,0,70,1
Tomato,55,27,70,0,75,0
Tomato,60,27,71,0,74,0
Tomato,65,26,72,0,70,0
Tomato,70,27,73,0,75,0
Tomato,75,26,75,0,72,0
Tomato,80,25,78,1,75,0
Tomato,28,32,55,0,65,1
Tomato,38,31,58,0,60,1
Tomato,48,30,62,0,68,1
Tomato,58,29,67,0,70,0
Tomato,68,28,72,0,75,0
Tomato,30,29,65,1,70,0
Tomato,42,30,63,1,72,0
Tomato,52,28,69,1,75,0
Chilli,25,32,55,0,70,1
Chilli,30,31,58,0,72,1
Chilli,35,30,60,0,75,1
Chilli,40,30,62,0,70,1
Chilli,45,29,64,0,72,1
Chilli,50,29,65,0,75,1
Chilli,55,28,68,0,72,0
Chilli,60,28,70,0,70,0
Chilli,65,27,72,0,75,0
Chilli,70,27,74,0,72,0
Chilli,75,26,76,0,75,0
Chilli,80,25,78,1,70,0
Chilli,28,33,54,0,65,1
Chilli,38,32,57,0,68,1
Chilli,48,30,63,0,70,1
Chilli,58,29,67,0,72,0
Chilli,68,28,71,0,75,0
Chilli,32,30,60,1,70,0
Chilli,45,29,65,1,72,0
Chilli,55,28,69,1,75,0
Potato,30,24,72,0,70,1
Potato,35,23,74,0,72,1
Potato,40,23,75,0,75,1
Potato,45,22,76,0,70,1
Potato,50,22,78,0,72,1
Potato,55,21,79,0,75,0
Potato,60,21,80,0,70,0
Potato,65,20,81,0,75,0
Potato,70,20,82,0,72,0
Potato,75,19,83,0,75,0
Potato,80,19,85,1,70,0
Potato,32,25,70,0,65,1
Potato,42,24,73,0,68,1
Potato,52,22,77,0,70,1
Potato,62,21,80,0,72,0
Potato,72,20,82,0,75,0
Potato,35,23,75,1,70,0
Potato,45,22,77,1,72,0
Potato,55,21,80,1,75,0
Onion,25,30,55,0,70,1
Onion,30,29,58,0,72,1
Onion,35,29,60,0,75,1
Onion,40,28,62,0,70,1
Onion,45,28,64,0,72,1
Onion,50,27,66,0,75,1
Onion,55,27,68,0,72,0
Onion,60,26,70,0,70,0
Onion,65,26,72,0,75,0
Onion,70,25,74,0,72,0
Onion,75,25,76,0,75,0
Onion,80,24,78,1,70,0
Onion,28,31,54,0,65,1
Onion,38,30,59,0,68,1
Onion,48,28,63,0,70,1
Onion,58,27,67,0,72,0
Onion,68,26,71,0,75,0
Onion,32,29,58,1,70,0
Onion,45,28,64,1,72,0
Onion,55,27,68,1,75,0
Cabbage,25,27,70,0,70,1
Cabbage,30,26,72,0,72,1
Cabbage,35,26,74,0,75,1
Cabbage,40,25,75,0,70,1
Cabbage,45,25,77,0,72,1
Cabbage,50,24,78,0,75,1
Cabbage,55,24,79,0,72,0
Cabbage,60,23,80,0,70,0
Cabbage,65,23,82,0,75,0
Cabbage,70,22,83,0,72,0
Cabbage,75,22,85,0,75,0
Cabbage,80,21,87,1,70,0
Cabbage,28,28,69,0,65,1
Cabbage,38,27,73,0,68,1
Cabbage,48,25,76,0,70,1
Cabbage,58,24,80,0,72,0
Cabbage,68,23,82,0,75,0
Cabbage,32,26,72,1,70,0
Cabbage,45,25,76,1,72,0
Cabbage,55,24,80,1,75,0
